URL,Dominio,Tipo,Titulo,Descripción,Visitas,Descargas,API Endpoint,Nombre de la entidad
https://www.datos.gov.co/d/ceth-n4bn,www.datos.gov.co,dataset,Grupos de Proveedores - SECOP II,Registra la información de las uniones temporales o grupos creados por proveedores para postularse en conjunto a procesos de compra pública,503,58,https://www.datos.gov.co/resource/ceth-n4bn.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/cwhv-7fnp,www.datos.gov.co,dataset,SECOP II - Rubros Presupuestales,"Resumen de los Rubros y Posiciones por código del rubro, conjunto que opera como detalle del conjunto de datos de compromisos presupuestales de SECOP II",36,1,https://www.datos.gov.co/resource/cwhv-7fnp.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/a86w-fh92,www.datos.gov.co,dataset,SECOP II - Solicitudes CDPs,"Información detallada de las integraciones desarrolladas para la comprobación de información de CDPs en la plataforma, asociadas a un contrato",162,49,https://www.datos.gov.co/resource/a86w-fh92.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/2irh-ijg2,www.datos.gov.co,filter,Inventario de Datasets,"Este conjunto de datos es un inventario de los recursos en el sitio www.datos.gov.co. Aquí puede realizar un seguimiento del rendimiento de la publicación de datos, mantenimiento de metadatos, así como este resumen año de lo que existe de datos en el sitio.",33601,999,https://www.datos.gov.co/resource/2irh-ijg2.json,Ministerio de Tecnologías de La Información y Las Comunicaciones
https://www.datos.gov.co/d/4n4q-k399,www.datos.gov.co,dataset,Multas y Sanciones SECOP I,Registro de las Multas y Sanciones generadas en la plataforma SECOP I,5851,2053,https://www.datos.gov.co/resource/4n4q-k399.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/5xst-tbem,www.datos.gov.co,dataset,Plan Anual de Adquisiciones - SECOP I,"Información de los planes anuales de adquisición registrados en la plataforma SECOP I, incluyendo el detalle de las posibles adquisiciones a realizar durante el año",914,126,https://www.datos.gov.co/resource/5xst-tbem.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/jbjy-vk9h,www.datos.gov.co,dataset,SECOP II - Contratos Electrónicos,Información de los contratos registrados en SECOP II desde su lanzamiento,4234,1363,https://www.datos.gov.co/resource/jbjy-vk9h.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/p6dx-8zbt,www.datos.gov.co,dataset,SECOP II - Procesos de Contratación,"Registro de los procesos de compra, sean o no adjudicados, hechos en la plataforma SECOP II desde su lanzamiento",7894,2117,https://www.datos.gov.co/resource/p6dx-8zbt.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/pajg-ux27,www.datos.gov.co,filter,Entidades con Publicación en SECOP II,"Registro de los procesos de compra, sean o no adjudicados, hechos en la plataforma SECOP II desde su lanzamiento",419,63,https://www.datos.gov.co/resource/pajg-ux27.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/qmzu-gj57,www.datos.gov.co,dataset,SECOP II - Proveedores Registrados,Información Básica de los proveedores registrados en SECOP II,9183,1615,https://www.datos.gov.co/resource/qmzu-gj57.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/qs5m-7kfz,www.datos.gov.co,dataset,SECOP I - 2011 a 2018,,1845,479,https://www.datos.gov.co/resource/qs5m-7kfz.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/rgxm-mmea,www.datos.gov.co,dataset,Tienda Virtual del Estado Colombiano - Consolidado,"Procesos de compra pública hechos a través de procesos de agregacion de la demanda en acuerdos marco, en la plataforma de Tienda Virtual del Estado Colombiano",7472,2605,https://www.datos.gov.co/resource/rgxm-mmea.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/rpmr-utcd,www.datos.gov.co,dataset,SECOP Integrado,"Información integrada de los procesos de compra pública que se han registrado en las plataformas SECOP I y II, que han finalizado con un contrato.",7579,1142,https://www.datos.gov.co/resource/rpmr-utcd.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/skc9-met7,www.datos.gov.co,dataset,SECOP II - Compromisos Presupuestales,"Información detallada de las integraciones desarrolladas para la comprobación de los registros presupuestales en la plataforma, asociadas a un contrato",162,33,https://www.datos.gov.co/resource/skc9-met7.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
https://www.datos.gov.co/d/tauh-5jvn,www.datos.gov.co,dataset,SECOP I - Proponentes,Información de proponentes por proceso de compra y su calificación,523,51,https://www.datos.gov.co/resource/tauh-5jvn.json,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
